rune,head,Serial,familiar,body,background,prop,token_id,numTraits,image,name
Rune of Air,Blue Wizard,113,Dirt Rabbit,Brown Coveralls,Green,A dumb stick...,113,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/113.png,Sorcerer Hadrien of the Hills
Rune of Cinnabar,Warlock,114,Crackerjack Crow,Shoulder Cape Red,Blue,Goblet of Immortality,114,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/114.png,Sage Eden of the Havens
Rune of Mars,Vamp,115,Red Mamba,Red Yoga,Blue,,115,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/115.png,Witch Hecate of the Hollow
,Shaolin,116,Albino Rat,Red Cleric,Black,Book of Magic,116,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/116.png,Runecaster Huan of the Atheneum
Rune of Cinnabar,Wild Woman,117,Red Mamba,Cape in the Wind,Black,Salamander's Tongue: the Fire Spell,117,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/117.png,Diabolist Elena of the Keep
Rune of Mars,Houngan,118,Bliss Cat,Formal Suit,Green,Siren's Bell,118,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/118.png,Bard Eliphas 
Rune of Earth,Dream Master,119,Merlin's Monkey,Brown Tunic,Blue,Siren's Harp,119,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/119.png,Bard Alizam of the Cosmos
,White Wizard,120,Lucky Black Cat,Formal Suit,Black,Grim Reaper's Breath: the Death Spell,120,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/120.png, Merlon of the Villa
,Dream Master,121,Sun Cat,Grey Tunic,Black,Guillaume's Broom,121,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/121.png,Sorcerer Zafar of the Havens
Rune of Earth,Woodland Shapeshifter,122,Crackerjack Crow,White Coveralls,Green,Emerald Staff,122,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/122.png,Battle Mage Atlas of the Valley
Rune of Water,Charmer,123,Great Owl,Blue Elven Cloak,Black,Eternal Rose,123,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/123.png,Charmer Circe of the Fey
,Arcadian Master,124,Swamp Bullfrog,Yellow Elven Cloak,Black,Joy Staff,124,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/124.png,Archmagus Salvatore of the Toadstools
Rune of Steel,Astral Arcanist,125,Swamp Bullfrog,Blue Elven Cloak,Red,Thor's Wrath: the Lightning Spell,125,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/125.png, Eden of the Thorn
Rune of Cinnabar,Huntress,126,Swamp Bullfrog,Vest Green,Green,Lucky Horseshoe,126,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/126.png,Arch-Magician Asphodel of the Grotto
Rune of Cinnabar,Kelt,127,Giant Ladybug,Red Cleric,Black,Dragon Fireworks,127,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/127.png,Pyromancer Rodolfo of the Temple
,Anuran,128,,Swashbuckling Gear,Blue,Candle of Intuition,128,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/128.png,Arcanist Helix of the Sea
Rune of Jupiter,Kobold,129,Bliss Cat,Aristocrat Purple,Red,Joy Staff,129,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/129.png,Sage Uur'lok of El Dorado
Rune of Steel,Blue Wizard,130,Lucky Black Cat,Cosmic Cardigan,Green,The Orb Staff,130,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/130.png,Archmagus Oberon of the Cosmos
,Thelemist,131,Red Mamba,Celestial Sash,Green,Salamander's Tongue: the Fire Spell,131,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/131.png,Shadow Mage Alessar of the Inferno
Rune of Venus,Flaming Skull,132,Onyx Wolf,Robe of Shadow,Red,Egg of Unknown Beast,132,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/132.png,Arch-Magician Burnside out of the Void
,Floral Master,133,,Green Caped Traveller,Black,Ether Staff,133,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/133.png,Enchanter Maia of the River
,Rogue Arcanist,134,Red Mamba,Green Hip Scarf,Green,Dryad's Ear: the Plant Spell,134,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/134.png,Necromancer Zeromus of Elysium
,Mandinka,135,Green Asp,Green Coveralls,Black,Nightshade Potion,135,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/135.png,Battle Mage Nicolas of the Wild
Rune of Saturn,Faustian,136,Fox Trickster,Double Sash,Blue,Eternal Rose,136,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/136.png,Sorcerer Basil of the Dunes
Rune of Venus,"Master of Wood, Water, and Hill",137,Dirt Rabbit,Blue Lined Coveralls ,Black,Emerald Staff,137,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/137.png,Shaman Flynn of the Brambles
Rune of Fire,Animist,138,Psychic Rabbit,Orange Scholar,Blue,Egg of Unknown Beast,138,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/138.png,Magus Thor of the Atheneum
Rune of Steel,Astrologer,139,Dirt Rabbit,Blue Elven Cloak,Green,Phoenix Feather,139,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/139.png,Archmagus George of the Carnival
,Animist,140,Merlin's Monkey,Yellow Cleric,Black,Emerald Staff,140,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/140.png,Shaman Angus of Elysium
Rune of Water,Dark Sister,141,Forever Bat,Tech Coat,Black,Ace in the Hole,141,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/141.png,Scryer Arabella of the Cosmos
Rune of Venus,Enchantress,142,,Swashbuckling Gear,Blue,Soul Harvester,142,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/142.png,Ghost Eater Galatea of the Isle
Rune of Fire,Faustian,143,Aura Wolf,Aristocrat Green,Red,Bag of Tricks,143,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/143.png,Archmagus Cairon of the Villa
Rune of Sun,Warlock,144,Golden Toad,Brown Harem Pants,Red,Thor's Wrath: the Lightning Spell,144,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/144.png,Archmagus Jerret of the Dunes
,Wildman,145,Swamp Bullfrog,Yellow Elven Cloak,Black,Hobgoblin's Flame: the Wayward Spell,145,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/145.png,Cryptomancer Blaise of the Veil
,Red Wizard,146,Bliss Cat,White Wraith,Blue,Egg of Unknown Beast,146,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/146.png, Allistair in the Shadows
Rune of Water,Silver Skeleton,147,Forever Bat,Tundra Wear,Black,Grim Reaper's Breath: the Death Spell,147,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/147.png,Ghost Eater Vossler of the Tundra
,Death Eater,148,,Brown Tunic,Black,Mug of Ale,148,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/148.png,Void Disciple Aamon of the Quantum Downs
Rune of Fire,Ascetic,149,Topaz Slime,Purple Harem Pants,Blue,Garnet Staff,149,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/149.png,Archmagus Akron of the Sun
Rune of Mercury,White Wizard,150,Bliss Cat,Grey Tunic,Blue,Harmony Staff,150,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/150.png,Arch-Magician Alessar of Mu
Rune of Mars,Astral Arcanist,151,Green Asp,Yellow Cleric,Green,The Midas Rod,151,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/151.png, Ixar of the Mount
,Charmer,152,Lucky Black Cat,Purple Yoga,Green,Lucky Horseshoe,152,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/152.png,Hedge Wizard Victoria of the Road
Rune of Cinnabar,Cloud Prophet,153,Golden Toad,Poncho,Green,Eternal Rose,153,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/153.png,Illusionist Aleister of the Oasis
Rune of Steel,Prophet,154,Green Asp,Orange Harem Pants,Green,Jinx Staff,154,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/154.png,Druid Soya of the Sun
,Cosmic Arcanist,155,Sapphire Slime,Formal Suit,Blue,Book of Magic,155,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/155.png,Magus Pumlo of the Hall
Rune of Pluto,Imp,156,Emerald Slime,Vest Green,Green,Green Mushroom,156,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/156.png,Magus Nixie of the Lake
Rune of Fire,Faustian,157,Dirt Rabbit,Red Cleric,Red,Dragon Fireworks,157,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/157.png,Archmagus Hadrien of the Valley
Rune of Mercury,Enchantress,158,Plague Rat,Spandex  Green,Blue,Goblet of Immortality,158,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/158.png,Enchanter Atlanta of the Forest
,Mambo,159,Lucky Black Cat,Purple Yoga ,Black,,159,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/159.png,Charmer Iris of the Plains
Rune of Up Only,Empress,160,Fox Trickster,Green Hip Pouch,Black,Mystic Ice Cream,160,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/160.png, Daphne of the Wold
,Scholar,161,Sapphire Slime,Purple Harem Pants,Green,Zephyr's Laugh: the Wind Spell,161,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/161.png,Archmagus Aleister of the Palms
Rune of Brimstone,Strongman,162,Crackerjack Crow,Cosmic Cardigan,Green,Ether Staff,162,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/162.png,Hex Mage Atlas of the Gnostics
Rune of Brass,Seer,163,Sun Cat,Green Scholar,Blue,Ether Staff,163,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/163.png,Scryer Milton of the Keep
,Yellow Wizard,164,Swamp Bullfrog,Green Elven Cloak,Blue,Sphinx's Hourglass,164,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/164.png,Archmagus Pumlo of the Veil
Rune of Mercury,Hag,165,Emerald Slime,Vest Green,Blue,A dumb stick...,165,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/165.png,Witch Carmilla of the Wood
Rune of Fire,Mandinka,166,Golden Toad,Jester Diamonds,Black,Phoenix Feather,166,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/166.png,Enchanter Bayard of the Capital
Rune of Venus,Huntress,167,Forever Bat,Purple Yoga,Blue,Hobgoblin's Flame: the Wayward Spell,167,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/167.png, Faye of the Field
,WereBeast,168,Merlin's Monkey,Green Big Buckle,Blue,Siren's Bell,168,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/168.png,Spellsinger Danny of the Marsh
,Rogue Arcanist,169,Topaz Slime,Two Tone Fringe,Green,Zephyr's Laugh: the Wind Spell,169,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/169.png,Necromancer Seth of the Mountain
,Anuran,170,,Orange Caped Traveller,Black,The Bone Stave,170,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/170.png,Voodoo Priest Impy of the Hollow
Rune of Earth,Enchantress,171,Psychic Rabbit,Wicker Wear,Green,Fairy Glamour: the Dazzle Spell,171,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/171.png,Conjurer Galatea of the Wild
Rune of Down,Prophet,172,Lucky Black Cat,Brown Harem Pants,Green,Goblet of Immortality,172,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/172.png,Transmuter Alessar of the Sun
,Witch,173,,Red Hip Pouch,Blue,Guillaume's Broom,173,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/173.png,Arch-Magician Gwendolin of the Wood
Rune of Uranus,Animist,174,Golden Toad,Red Coveralls,Blue,Courage Staff,174,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/174.png,Archmagus Aslan of the Wild
Rune of Mercury,Botanic Master,175,Sun Cat,Spandex  Green,Green,Solar Staff,175,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/175.png,Sage Larissa of the Wood
,Floral Master,176,Blue Rat,Green Cloak,Black,Dragon Fireworks,176,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/176.png,Enchanter Mina of the Field
,Corvid,177,Ember Frog,Ice Robe,Black,Shaman's Peyote,177,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/177.png,Shaman Crowley of Mu
Rune of Mercury,Seer,178,Mesozoic Cockatrice,Blue Lined Coveralls ,Blue,Salamander's Tongue: the Fire Spell,178,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/178.png,Chaos Mage Milo of the Hollow
,Arcadian Master,179,,Yellow Cleric,Blue,Peace Staff,179,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/179.png,Arch-Magician Silas of the Mist
,Mandinka,180,Giant Ladybug,Green Mantle Robe,Blue,The Gnome's Tooth: the Earth Spell,180,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/180.png,Geomancer Hagar 
Rune of Neptune,Death Eater,181,Red Mamba,Ice Robe,Green,Crystal Skull,181,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/181.png,Void Disciple Voidoth of the Cosmos
Rune of Lime,Hag,182,Jewled Hummingbird,Vest Green,Red,Eternal Rose,182,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/182.png,Witch Hecate of the Road
Rune of Jupiter,Astral Arcanist,183,Red Mamba,Yellow Cleric,Black,Joy Staff,183,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/183.png, Eden of Dreams
,Sandman,184,,Blue Coveralls,Black,Astral Potion,184,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/184.png,Sorcerer Iprix of the Plains
,Swashbuckler,185,Red Mamba,White Coveralls,Green,Lunar Staff,185,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/185.png,Sage Caligula of the Riviera
,Thelemist,186,,Blue Big Buckle,Blue,Passion Potion,186,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/186.png,Alchemist Ozohr of the River
Rune of Sigma,Dark Sister,187,Forever Bat,Spandex  Dark,Red,Nightshade Potion,187,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/187.png,Enchanter Katherine of the Moors
,Bard,188,,Blue Elven Cloak,Black,Mandrake Potion,188,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/188.png,Alchemist Fark of the Veil
Rune of Mars,Coven Sister,189,Golden Toad,Spandex  Green,Blue,Key of the 7th Realm,189,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/189.png, Daria of the Lake
,Bard,190,Blue Rat,Blue Coveralls,Black,Zephyr's Laugh: the Wind Spell,190,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/190.png,Aeromancer Onaxx of the Forest
Rune of Jupiter,Imp,191,Emerald Slime,Vest Green,Red,A dumb stick...,191,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/191.png,Hedge Wizard Suki of the Grotto
Rune of Pluto,Enchantress,192,Sapphire Slime,Spandex  Green,Blue,Eternal Rose,192,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/192.png,Conjurer Maia of the Canyon
,Kobold,193,,Aristocrat Green,Blue,Fairy Glamour: the Dazzle Spell,193,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/193.png,Arch-Magician Gully of the Villa
,Red Wizard,194,Onyx Wolf,Formal Suit,Blue,Passion Potion,194,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/194.png,Alchemist George of the Court
Rune of Sigma,Swamp Witch,195,Albino Rat,Celestial Sash,Blue,Cannabis Potion,195,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/195.png,Alchemist Rowena of the Quantum Shadow
Rune of Water,White Wizard,196,Merlin's Monkey,White Tunic,Blue,Isaac's Apple,196,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/196.png,Conjurer Isaac of the Realm
,Swashbuckler,197,Plague Rat,Poncho,Black,Guillaume's Broom,197,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/197.png,Arch-Magician Aslan of the Sands
,Koopling,198,,Aristocrat Green,Black,Mandrake Potion,198,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/198.png,Alchemist Moka of the Tower
Rune of Saturn,Vamp,199,Golden Toad,Blue Hip Pouch,Red,Thor's Wrath: the Lightning Spell,199,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/199.png,Electromancer Shivra of the Road
Rune of Mars,Eastern Arcanist,200,Sapphire Slime,Blue Elven Cloak,Black,Gorgon's Eye,200,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/200.png,Summoner Silas of the Woodlands
,Thelemist,201,,Robe of Shadow,Blue,Jinx Staff,201,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/201.png, Jeldor from the Shadow
Rune of Mars,Mambo,202,Emerald Slime,Red Hip Pouch,Green,Eternal Rose,202,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/202.png,Illusionist Bathsheba of the Plains
,Gruffling,203,Topaz Slime,Blue Big Buckle,Black,Mandrake Potion,203,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/203.png,Battle Mage Angus of the Valley
Rune of Venus,Cosmic Arcanist,204,Great Owl,Shoulder Cape Green,Black,Goblet of Immortality,204,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/204.png,Transmuter Isaac of Avalon
,Dream Master,205,,Gold Chain,Blue,The Midas Rod,205,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/205.png,Arch-Magician Nassif of the Villa
Rune of Air,Empress,206,Giant Ladybug,Red Hip Pouch,Black,Salamander's Tongue: the Fire Spell,206,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/206.png,Cosmic Mage Bathsheba of the Heath
,Vamp,207,Sun Cat,Blue Hip Pouch,Black,Guillaume's Broom,207,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/207.png,Arch-Magician Zolona of the Steppe
Rune of Air,Myrddin,208,Psychic Rabbit,Green Hip Scarf,Blue,Key of the 7th Realm,208,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/208.png,Artificer Lumos of the Tower
,Myrddin,209,Onyx Wolf,Vest Green,Green,Emerald Staff,209,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/209.png,Geomancer Merlon of the Reach
Rune of Water,Hermit,210,Lucky Black Cat,Green Lined Coveralls,Blue,Salamander's Tongue: the Fire Spell,210,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/210.png,Sorcerer Apollo of the Hills
,Botanic Master,211,,Spandex  Green,Green,Kelpie's Fury: the Water Spell,211,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/211.png,Enchanter Arabella of the Wold
Rune of Saturn,Swashbuckler,212,Ember Frog,Orange Hip Scarf ,Blue,Ether Staff,212,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/212.png,Archmagus Samuel of the Belfry
,Astrologer,213,Plague Rat,Green Mantle Robe,Black,Prometheus's Torch,213,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/213.png,Pyromancer Soya of the Astral Plane
,Labyrinthian,214,,Shoulder Cape Green,Black,Emerald Staff,214,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/214.png,Sorcerer Apollo of Avalon
,Kempo,215,Onyx Wolf,Spandex  Dark,Blue,Caduceus,215,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/215.png,Druid Ming of the Hollow
,Trickster,216,Swamp Bullfrog,Shoulder Cape Red,Green,Dryad's Ear: the Plant Spell,216,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/216.png,Hedge Wizard Hashim of the Atheneum
,Mambo,217,Swamp Bullfrog,Spandex  Green,Black,Red Mushroom,217,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/217.png,Enchanter Asphodel of the Grotto
Rune of Water,Cosmic Arcanist,218,Giant Ladybug,Gold Chain,Green,Caduceus,218,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/218.png,Archmagus Orpheus of the Keep
Rune of Jupiter,Illuminatus,219,Albino Rat,Cape in the Wind,Red,Egg of Unknown Beast,219,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/219.png,Holy Magus Illuminus of the Grotto
,Swamp Witch,220,Swamp Bullfrog,Green Hip Pouch,Black,Hobgoblin's Flame: the Wayward Spell,220,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/220.png,Chaos Mage Properpine of the Reach
Rune of Steel,Arcadian Master,221,Golden Toad,Shoulder Cape Green,Red,Solar Staff,221,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/221.png,Mystic Merlon of the Temple
Rune of Saturn,Canaanite,222,Field Dog,Green Coveralls,Red,Ether Staff,222,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/222.png,Shaman Molek of the Valley
